                                     CIS 200 - Section 001
     Name               ID     Ex1 Ex2 Ex3 P01 P02 P03 P04 L01 L02 L03 L04 L05 L06 L07 L08 L09 L10
Jon Snow               0001    75  80  95  90  80  70  90  10  9   4   6   8   9   10  9   10  3  
Tywin Lannister        3415    90  90  100 100 100 100 99  10  9   9   9   10  9   9   10  10  10 
Robert Baratheon       2156    10  30  20  60  75  55  25  10  5   6   7   7   8   4   5   8   2    
Brienne Tarth          3790    100 80  95  77  83  88  90  10  8   8   9   7   9   10  10  10  8  
Daario Naharis         6914    95  73  87  55  67  82  45  10  5   7   6   7   8   9   8   7   7  
Olenna Tyrell          1373    70  85  90  100 90  100 96  10  8   8   8   9   8   9   7   9   10 
Jorah Mormont          5712    75  73  82  74  86  71  83  10  7   7   7   7   8   7   7   7   9  
Wylis Hodor            9629    10  25  37  42  34  57  60  10  0   0   3   2   1   0   0   5   3  
Jaqen H'ghar           0000    55  84  91  66  73  85  74  10  2   9   7   9   4   10  10  9   7  
Arya Stark             1024    90  87  99  45  71  89  95  10  6   7   9   7   8   8   9   9   10 
Theon Greyjoy          8586    45  57  66  68  76  82  74  10  2   5   9   7   6   8   8   6   9  
Sandor Clegane         3245    56  79  88  90  84  92  95  10  9   8   9   9   7   10  10  10  9  
Tyrion Lannister       4309    99  100 110 100 100 95  100 10  10  10  10  10  10  9   10  9   10 
Petyr Baelish          0932    75  70  77  65  80  76  73  10  6   7   7   8   5   7   9   7   7  
Varys TheSpider        7777    80  85  90  95  84  100 100 10  10  9   9   10  9   10  10  10  10 
