                                 CIS 200 - Section 003
     Name               ID     Ex1 Ex2 Ex3 P01 P02 P03 P04 L01 L02 L03 L04 L05 L06 L07 L08 L09 L10
Rand al'Thor           4332    60  65  76  83  76  87  91  10  9   7   7   6   8   9   10  10  9  
Egwene al'Vere         1344    95  100 100 100 99  97  95  10  10  10  10  10  10  10  9   10  10 
Mat Cauthon            4167    83  77  86  88  83  85  92  10  9   9   8   9   8   9   10  9   8  
Perrin Aybara          9807    67  85  76  84  86  91  65  10  8   9   9   10  9   9   8   10  10 
Nynaeve al'Meara       0931    84  94  92  90  94  92  97  10  9   9   10  10  10  10  9   8   9  
Thom Merrilin          5772    77  73  72  82  71  86  85  9   10  7   9   10  7   9   10  8   9  
Artur Hawkwing         3215    83  77  86  88  83  85  92  10  9   9   8   9   8   9   10  9   8  
Lan Mandragoran        8572    88  84  83  84  82  85  83  10  9   8   8   9   9   8   10  9   10 
Lews Telamon           3671    60  65  76  83  76  87  91  10  9   7   7   6   8   9   10  10  9  
Elayne Trakand         2353    102 100 100 100 98  97  100 10  10  10  10  10  10  10  10  9   10  
Padan Fain             6765    23  15  24  35  65  19  49  5   4   6   7   4   2   6   7   3   4   
Moiraine Damodred      0324    89  94  93  90  92  85  92  10  9   9   10  9   10  10  9   9   10 
