                                       CIS 200 - Section 002
     Name               ID     Ex1 Ex2 Ex3 P01 P02 P03 P04 L01 L02 L03 L04 L05 L06 L07 L08 L09 L10
Harry Dresden          9791    75  75  80  74  73  77  88  7   10  10  9   8   8   7   9   10  10 
Karrin Murphy          2451    79  100 93  90  82  89  94  10  9   10  7   8   9   8   7   7   10 
Donald Morgan          1630    91  84  98  87  92  94  96  10  10  7   9   9   9   10  9   9   9  
Thomas Raith           5321    66  79  74  54  72  70  70  10  6   7   7   7   7   6   8   10  7  
Waldo Butters          6565    90  92  95  87  93  100 93  10  10  10  10  10  9   9   10  9   9  
Michael Carpenter      3333    76  84  89  80  83  81  86  8   9   8   8   7   10  8   9   9   10 
Nicodemus Archleone    3512    0   62  32  40  37  64  43  4   10  6   8   6   5   4   8   8   6  
Anastasia Luccio       9015    78  92  86  85  87  90  92  10  10  8   9   9   10  9   10  9   9  
John Marcone           6544    54  67  64  91  84  82  75  10  9   7   5   10  8   9   10  4   4  
Carlos Ramirez         4521    76  87  85  80  84  86  89  10  8   9   8   8   9   9   10  9   9  
Ebenezar McCoy         1345    90  84  82  100 92  94  91  10  9   10  9   9   10  10  10  8   10 
Heinrich Kemmler       0356    64  84  74  77  74  72  75  10  7   7   7   8   9   10  7   9   8  
Henry Rawlins          5478    81  80  72  91  83  76  79  10  8   5   10  5   6   6   7   6   8  
Jared Kincaid          2566    45  73  80  75  83  74  76  10  7   7   9   10  10  9   9   8   9  
